reviewer,review_title,review_text,rating
nupur,best album,one of the best albums by taylor! so cohesive as an album. hits different is superior and offensive. my 2nd fav album after evermore ✨ the lyrics an production are superiorrrrrrrr,5.0 out of 5 stars
sandeep raj,Original cd,Cd came in a good packaging and it seems to be original,5.0 out of 5 stars
Devansh,This is my most favourite purchase till now,I would have never thought this would be available in India but as i was going through amazon I found it and I choked for a bit and I ordered it . Literally i am obsessed with this album it feels so surreal to have this because i have been a swiftie for years .Thank u amazon so much . This literally feels like a dream come true,5.0 out of 5 stars
Mugesh,Mastermind,"Taylor Swift is a True Genius. The album is a complete bop, 8/10. Coming to the packaging and CD.. The packaging was Sturdy and The CD is absolutely gorgeous. It comes with a lyric Booklet too.. If you're a fan of Taylor Swift and would love to collect CDs its a must buy. The CD is Genuine. You can trust the seller (MUSIC FOR ALL).",5.0 out of 5 stars
Ayesha,I'm so happy with this purchase!,"I wanted the lavender edition but I couldn't find so I went with Moonstone blue and it's also very beautiful 🥺 Totally love it! Being a international swiftie, getting any edition is enough and I'm grateful for it. It was worth purchasing it 💖 Swiftie forever ✨",5.0 out of 5 stars
Rupankar Ghosh,Just 13 words... T A Y L O R S W I F T !!!!!,,5.0 out of 5 stars
Amazon Customer,Album of the year .,"Taylor swift is the music industry, midnights is the best album of 2022 ,pop taylor swift is back with a album full of bops she's truly a mastermind.",5.0 out of 5 stars
pranav,Really loved this album ❤️ Thank you so much Taylor,This is my first album of Taylor and i really really loved it. Such an amazing experience....it's really hard to support my favorite artist here in India but i would love to attend one of her concerts atleast once. Thank you so much Taylor swift you are the best.,5.0 out of 5 stars
Sarvaansh Garg,Incredible!,"The CD looks absolutely stellar! It came in terrific condition, and the delivery was swift as well. As for the album, I don't think I need to say anything. I'll let the stats and records speak for themselves.",5.0 out of 5 stars
Steven Haarala,,"Taylor Swift and her people know how to put together an enjoyable pop album of good quality. ""1989"", ""Reputation"" and ""Lover"" were all well-produced and well-executed, and so is ""Midnights"". The recorded sound is excellent. The vocals and song structure don't differ too much from the previous albums, although I would say in general this one is more low-key. As with the previous albums, there is often an intricate interplay between the lead and background vocals, which contributes to the ""ear candy"" quality. The overall production is limited and relaxed, nothing very loud or intense in an obvious way, but there are undercurrents provided by subtle synth arrangements. The production is tight. No wasted space. Only 2 tracks end in fadeouts, and some end rather abruptly. One thing missing is a rocking dance-pop track with the rousing enthusiasm of ""Shake It Off"" or ""ME!"". The feeling is mostly moody and reflective, in support of the themes in the lyrics. ""Snow On The Beach"" stands out by being a collaboration with Lana Del Rey; but when you think about it, Lana's sound and Taylor's are not so different.In the album's photos, Taylor reminds me of chanteuse Marianne Faithfull as she looked in the 60's. Perhaps some of Marianne's later tell-all candor rubbed off on Taylor, because she certainly does open up on this album. In the notes, Taylor asks, ""What keeps you up at night?"" and then answers her own question: ""...a momentary glimmer of distraction. The tiniest notion of reminiscent thought that wanders off into wondering..."". The first track, ""Lavender Haze"", illustrates this sometimes uncontrolled thought-streaming by placing the foreground lead vocals against a background of nebulous voices that flit to and fro without solid meaning. In this song she declares independence from ""The 1950's #### they want from me"", meaning a conventional life as a conventional wife. Then she's thinking about fun she had the night before, as she asks in ""Maroon"", ""How'd we end up on the floor anyway?"", and it turns out that it was from some ""cheap-___ screw top rosé"". In ""Anti-Hero"" she has this cynical thought: ""Did you hear my covert narcissism/I disguise as altruism like some kind of congressman."" The songs go on to describe a memorable night that was ""like snow on the beach/Weird but ******' beautiful"", a disappointment (""I picked the petals, he loves me not""), her hometown (""a wasteland full of cages, full of fences/Pageant queens and big pretenders""), a feeling of confidence (""Best believe I'm still bejeweled/When I walk in the room/I can still make the whole place shimmer""), a feeling of distress (""I hate that everybody just expects me to bounce back, just like that""), revenge (""Karma's gonna track you down/Step by step from town to town""), and a safe harbor (""They said the end is coming...I find myself running home to your sweet nothings."") Taylor sums it all up in the notes as ""a journey through terrors and sweet dreams.""",5.0 out of 5 stars
